timestamp,scan_rate_hz,object_count,avg_objects_per_scan,success_rate_percent,cpu_time_ms_per_frame
2025-12-07T19:57:54.507254,2.96,9,5.33,66.7,10.62
2025-12-07T19:57:55.507329,3.00,9,9.00,100.0,10.24
2025-12-07T19:57:56.507210,4.00,9,8.25,100.0,8.09
2025-12-07T19:57:57.507527,3.00,9,8.33,100.0,8.94
2025-12-07T19:57:58.507209,3.00,9,9.00,100.0,8.30
2025-12-07T19:57:59.507247,3.00,9,9.00,100.0,8.38
2025-12-07T19:58:00.507343,4.00,9,9.00,100.0,6.86
2025-12-07T19:58:01.509824,2.99,8,8.67,100.0,9.10
2025-12-07T19:58:02.507285,4.01,7,7.50,100.0,8.34
2025-12-07T19:58:03.507327,3.00,7,7.00,100.0,7.90
2025-12-07T19:58:04.507286,4.00,7,7.00,100.0,6.86
2025-12-07T19:58:05.507234,3.00,9,8.00,100.0,7.36
2025-12-07T19:58:06.507589,3.44,10,9.33,100.0,8.11
2025-12-07T19:58:07.507476,4.00,10,10.00,100.0,9.79
2025-12-07T19:58:08.507448,3.00,10,10.00,100.0,7.47
2025-12-07T19:58:09.507277,4.00,10,10.00,100.0,8.59
2025-12-07T19:58:10.507422,3.00,8,9.33,100.0,8.47
2025-12-07T19:58:11.507602,4.00,8,8.25,100.0,7.77
2025-12-07T19:58:12.507192,3.00,8,8.00,100.0,7.69
2025-12-07T19:58:13.507445,3.00,9,8.67,100.0,10.23
2025-12-07T19:58:14.513202,3.98,8,8.75,100.0,8.31
2025-12-07T19:58:15.507453,3.02,8,8.00,100.0,6.89
2025-12-07T19:58:16.507223,4.00,10,8.00,100.0,6.32
2025-12-07T19:58:17.507554,3.00,9,10.00,100.0,9.42
2025-12-07T19:58:18.507214,3.00,11,10.00,100.0,8.23
2025-12-07T19:58:19.507306,4.00,12,11.00,100.0,8.19
2025-12-07T19:58:20.507484,3.00,11,11.67,100.0,9.05
2025-12-07T19:58:21.507393,4.00,12,11.75,100.0,9.04
2025-12-07T19:58:22.507288,3.00,11,11.67,100.0,9.20
2025-12-07T19:58:23.507515,3.00,11,11.00,100.0,7.87
2025-12-07T19:58:24.507255,4.00,10,11.00,100.0,11.08
2025-12-07T19:58:25.509446,2.99,12,10.33,100.0,7.95
2025-12-07T19:58:26.507180,4.01,12,12.00,100.0,9.44
2025-12-07T19:58:27.512065,2.99,12,12.00,100.0,9.90
2025-12-07T19:58:28.507466,4.02,12,12.00,100.0,11.67
2025-12-07T19:58:29.507266,3.00,12,12.00,100.0,8.16
2025-12-07T19:58:30.507213,3.00,12,12.00,100.0,12.77
2025-12-07T19:58:31.507488,4.00,12,12.00,100.0,10.92
2025-12-07T19:58:32.515385,2.98,12,12.00,100.0,9.32
2025-12-07T19:58:33.507430,3.02,12,12.00,100.0,9.03
2025-12-07T19:58:34.507483,4.00,12,12.00,100.0,7.96
2025-12-07T19:58:35.507483,2.00,12,12.00,100.0,9.22
2025-12-07T19:58:36.509273,2.87,9,11.20,100.0,13.66
2025-12-07T19:58:37.507446,4.01,11,10.00,100.0,8.97
2025-12-07T19:58:38.507394,3.00,12,11.67,100.0,8.21
2025-12-07T19:58:39.507305,4.00,12,12.00,100.0,8.78
2025-12-07T19:58:40.507181,3.00,10,11.33,100.0,8.92
2025-12-07T19:58:41.507345,3.00,10,10.00,100.0,10.20
2025-12-07T19:58:42.507782,3.00,11,10.00,100.0,9.28
2025-12-07T19:58:43.507917,4.00,12,11.00,100.0,9.15
2025-12-07T19:58:44.507240,3.00,12,12.00,100.0,8.58
2025-12-07T19:58:45.507473,4.00,12,12.00,100.0,8.52
2025-12-07T19:58:46.507231,3.00,12,12.00,100.0,12.79
2025-12-07T19:58:47.507344,3.00,12,12.00,100.0,8.28
2025-12-07T19:58:48.507425,3.00,12,12.00,100.0,9.63
2025-12-07T19:58:49.507331,3.00,12,12.00,100.0,8.76
2025-12-07T19:58:50.507577,3.00,12,12.00,100.0,13.64
2025-12-07T19:58:51.507750,4.00,12,12.00,100.0,9.25
2025-12-07T19:58:52.507705,3.00,12,12.00,100.0,10.61
2025-12-07T19:58:53.507287,3.00,12,12.00,100.0,10.53
2025-12-07T19:58:54.507371,4.00,12,12.00,100.0,12.11
2025-12-07T19:58:55.507375,3.00,12,12.00,100.0,11.47
2025-12-07T19:58:56.508201,3.00,12,12.00,100.0,12.24
2025-12-07T19:58:57.507747,3.00,12,12.00,100.0,10.51
2025-12-07T19:58:58.507804,4.00,12,12.00,100.0,10.03
2025-12-07T19:58:59.507142,3.00,12,12.00,100.0,11.86
2025-12-07T19:59:00.507189,3.00,12,12.00,100.0,8.52
2025-12-07T19:59:01.507317,4.00,12,12.00,100.0,10.87
2025-12-07T19:59:02.507296,3.00,12,12.00,100.0,10.44
2025-12-07T19:59:03.507884,4.00,12,12.00,100.0,9.24
2025-12-07T19:59:04.508364,3.00,12,12.00,100.0,9.56
2025-12-07T19:59:05.511418,3.99,12,12.00,100.0,10.32
2025-12-07T19:59:06.507170,3.16,12,12.00,100.0,9.50
