timestamp,scan_rate_hz,object_count,avg_objects_per_scan,success_rate_percent,cpu_time_ms_per_frame
2025-12-08T08:14:05.210207,1.93,4,1.50,50.0,19.92
2025-12-08T08:14:06.206534,2.01,4,3.50,100.0,19.63
2025-12-08T08:14:07.206546,2.00,3,4.00,100.0,11.89
2025-12-08T08:14:08.207893,2.00,3,3.00,100.0,9.04
2025-12-08T08:14:09.206917,2.00,5,3.50,100.0,12.20
2025-12-08T08:14:10.206840,2.00,5,4.50,100.0,10.07
2025-12-08T08:14:11.206534,3.00,5,4.33,100.0,12.57
2025-12-08T08:14:12.211556,1.99,3,4.50,100.0,10.26
2025-12-08T08:14:13.206707,2.01,3,3.00,100.0,14.83
2025-12-08T08:14:14.207380,2.00,3,2.50,100.0,9.09
2025-12-08T08:14:15.206768,2.00,2,3.00,100.0,20.91
2025-12-08T08:14:16.206607,2.00,4,3.00,100.0,14.68
2025-12-08T08:14:17.206383,3.00,4,3.67,100.0,15.17
2025-12-08T08:14:18.207046,1.00,4,4.00,100.0,11.94
2025-12-08T08:14:19.210949,2.99,5,3.67,100.0,15.58
2025-12-08T08:14:20.206464,2.01,7,4.50,100.0,13.53
2025-12-08T08:14:21.206494,2.00,7,7.00,100.0,16.22
2025-12-08T08:14:22.211739,1.99,7,7.00,100.0,17.48
2025-12-08T08:14:23.206474,3.02,3,6.33,100.0,18.35
2025-12-08T08:14:24.206384,2.00,5,3.50,100.0,14.14
2025-12-08T08:14:25.206961,2.00,6,5.50,100.0,13.19
2025-12-08T08:14:26.208098,2.00,6,5.50,100.0,13.19
2025-12-08T08:14:27.207043,2.00,6,6.00,100.0,13.17
2025-12-08T08:14:28.206433,3.00,6,6.00,100.0,14.08
2025-12-08T08:14:29.206600,1.84,8,6.80,100.0,14.04
2025-12-08T08:14:30.206543,3.00,7,7.33,100.0,11.66
2025-12-08T08:14:31.206326,2.00,7,7.00,100.0,14.97
2025-12-08T08:14:32.206471,3.00,7,6.33,100.0,15.70
2025-12-08T08:14:33.211051,1.99,5,6.50,100.0,9.98
2025-12-08T08:14:34.208215,2.01,6,5.00,100.0,11.78
2025-12-08T08:14:35.207278,2.00,6,6.00,100.0,11.64
2025-12-08T08:14:36.207120,3.00,6,6.33,100.0,16.80
2025-12-08T08:14:37.206395,2.00,5,6.00,100.0,13.85
2025-12-08T08:14:38.207988,2.00,7,6.00,100.0,17.58
2025-12-08T08:14:39.206483,2.00,7,6.50,100.0,14.17
2025-12-08T08:14:40.206342,1.00,4,7.00,100.0,12.32
2025-12-08T08:14:41.206614,3.00,5,5.00,100.0,17.90
2025-12-08T08:14:42.206434,2.00,5,4.50,100.0,13.63
2025-12-08T08:14:43.206907,2.00,4,4.50,100.0,15.25
2025-12-08T08:14:44.206804,2.00,5,4.50,100.0,14.57
2025-12-08T08:14:45.206393,2.00,6,5.50,100.0,13.78
2025-12-08T08:14:46.211228,1.99,7,5.50,100.0,17.15
2025-12-08T08:14:47.212161,3.00,7,6.67,100.0,21.31
2025-12-08T08:14:48.206913,2.01,6,6.00,100.0,21.01
2025-12-08T08:14:49.206599,2.00,6,6.00,100.0,11.96
2025-12-08T08:14:50.206372,2.00,5,5.50,100.0,15.52
2025-12-08T08:14:51.206552,2.00,5,5.00,100.0,12.12
2025-12-08T08:14:52.209985,2.99,5,5.00,100.0,16.97
2025-12-08T08:14:53.206974,2.01,5,4.50,100.0,13.81
2025-12-08T08:14:54.210931,1.99,5,4.50,100.0,10.20
2025-12-08T08:14:55.208685,2.00,5,5.00,100.0,13.32
2025-12-08T08:14:56.206481,2.00,4,4.50,100.0,14.47
2025-12-08T08:14:57.206640,3.00,4,4.67,100.0,15.24
2025-12-08T08:14:58.207779,2.00,6,4.50,100.0,17.53
2025-12-08T08:14:59.206809,2.00,5,5.50,100.0,11.68
2025-12-08T08:15:00.210584,2.28,5,4.83,100.0,16.39
2025-12-08T08:15:01.206749,2.01,5,5.00,100.0,11.66
2025-12-08T08:15:02.208298,2.00,6,5.00,100.0,13.05
2025-12-08T08:15:03.206418,3.01,8,5.33,100.0,15.44
2025-12-08T08:15:04.206803,2.00,5,7.00,100.0,15.40
2025-12-08T08:15:05.208307,2.00,4,5.50,100.0,12.74
2025-12-08T08:15:06.206522,2.00,5,4.50,100.0,14.35
2025-12-08T08:15:07.206749,3.00,4,4.67,100.0,10.13
2025-12-08T08:15:08.206658,2.00,5,4.00,100.0,15.77
2025-12-08T08:15:09.214404,1.98,4,4.50,100.0,17.34
2025-12-08T08:15:10.216547,2.00,5,4.50,100.0,13.00
2025-12-08T08:15:11.206516,3.03,4,5.00,100.0,13.31
2025-12-08T08:15:12.206798,2.00,5,4.50,100.0,9.70
2025-12-08T08:15:13.206320,2.00,5,5.00,100.0,15.09
2025-12-08T08:15:14.206459,2.00,4,4.50,100.0,13.49
2025-12-08T08:15:15.206762,2.00,4,4.50,100.0,15.30
2025-12-08T08:15:16.206764,2.00,5,5.00,100.0,13.89
2025-12-08T08:15:17.206599,3.00,5,5.33,100.0,16.14
2025-12-08T08:15:18.209564,1.99,6,5.50,100.0,12.30
2025-12-08T08:15:19.206387,2.01,4,6.50,100.0,16.20
2025-12-08T08:15:20.206506,2.00,6,4.00,100.0,15.00
2025-12-08T08:15:21.206586,2.00,5,6.00,100.0,14.81
2025-12-08T08:15:22.208722,2.99,5,5.00,100.0,13.81
2025-12-08T08:15:23.208449,2.00,6,5.00,100.0,10.29
2025-12-08T08:15:24.206718,2.00,6,6.00,100.0,17.49
2025-12-08T08:15:25.207591,2.00,5,6.00,100.0,12.76
2025-12-08T08:15:26.206538,3.00,6,5.33,100.0,12.21
2025-12-08T08:15:27.212168,1.99,6,5.00,100.0,16.97
2025-12-08T08:15:28.208594,2.01,6,6.00,100.0,16.44
