timestamp,scan_rate_hz,object_count,avg_objects_per_scan,success_rate_percent,cpu_time_ms_per_frame
2025-12-07T19:11:57.454144,1.49,8,4.00,50.0,0.00
2025-12-07T19:11:58.454151,2.87,8,8.00,100.0,0.00
2025-12-07T19:11:59.454452,3.00,8,8.00,100.0,0.00
2025-12-07T19:12:00.454311,3.00,8,8.00,100.0,0.00
2025-12-07T19:12:01.454385,3.00,9,8.33,100.0,0.00
2025-12-07T19:12:02.454490,3.00,9,9.00,100.0,0.00
2025-12-07T19:12:03.454266,4.00,9,9.00,100.0,0.00
2025-12-07T19:12:04.454041,3.00,9,9.00,100.0,0.00
2025-12-07T19:12:05.454177,3.00,9,9.00,100.0,0.00
2025-12-07T19:12:06.454010,3.00,9,9.00,100.0,0.00
2025-12-07T19:12:07.454332,3.00,9,9.00,100.0,0.00
2025-12-07T19:12:08.454170,3.00,9,9.00,100.0,0.00
2025-12-07T19:12:09.453992,4.00,9,9.00,100.0,0.00
2025-12-07T19:12:10.454064,3.00,9,9.00,100.0,0.00
2025-12-07T19:12:11.454557,3.00,9,9.00,100.0,0.00
2025-12-07T19:12:12.454285,3.00,9,9.00,100.0,0.00
2025-12-07T19:12:13.454476,3.00,9,9.00,100.0,0.00
2025-12-07T19:12:14.454441,3.00,9,9.00,100.0,0.00
2025-12-07T19:12:15.454414,3.00,9,9.00,100.0,0.00
2025-12-07T19:12:16.454056,3.00,9,9.00,100.0,0.00
2025-12-07T19:12:17.454416,3.00,9,8.67,100.0,0.00
2025-12-07T19:12:18.457921,3.99,9,8.75,100.0,0.00
2025-12-07T19:12:19.454188,3.01,9,9.00,100.0,0.00
2025-12-07T19:12:20.454455,3.00,8,9.00,100.0,0.00
2025-12-07T19:12:21.454454,3.00,9,8.67,100.0,0.00
2025-12-07T19:12:22.463786,2.97,9,9.00,100.0,0.00
2025-12-07T19:12:23.454631,3.03,9,9.00,100.0,0.00
2025-12-07T19:12:24.454414,4.00,8,8.25,100.0,0.00
2025-12-07T19:12:25.454179,3.00,8,8.00,100.0,0.00
2025-12-07T19:12:26.458910,2.99,8,8.00,100.0,0.00
2025-12-07T19:12:27.454367,3.01,8,8.00,100.0,0.00
2025-12-07T19:12:28.454235,3.15,8,7.91,100.0,0.00
2025-12-07T19:12:29.454355,3.00,8,8.00,100.0,0.00
2025-12-07T19:12:30.453979,3.00,9,8.67,100.0,0.00
2025-12-07T19:12:31.454367,2.00,9,9.00,100.0,0.00
2025-12-07T19:12:32.454770,3.00,9,9.00,100.0,0.00
2025-12-07T19:12:33.455858,2.00,9,9.00,100.0,0.00
2025-12-07T19:12:34.454215,3.00,9,9.00,100.0,0.00
2025-12-07T19:12:35.454274,2.00,9,9.00,100.0,0.00
2025-12-07T19:12:36.454212,2.00,9,9.00,100.0,0.00
2025-12-07T19:12:37.454360,3.00,9,9.00,100.0,0.00
2025-12-07T19:12:38.454326,2.00,8,9.00,100.0,0.00
2025-12-07T19:12:39.454722,3.00,9,8.67,100.0,0.00
2025-12-07T19:12:40.454289,2.00,9,9.00,100.0,0.00
2025-12-07T19:12:41.454922,3.00,9,9.00,100.0,0.00
2025-12-07T19:12:42.454257,2.00,9,9.00,100.0,0.00
2025-12-07T19:12:43.454333,3.00,9,8.67,100.0,0.00
2025-12-07T19:12:44.454087,2.00,9,9.00,100.0,0.00
2025-12-07T19:12:45.456129,2.99,9,9.00,100.0,0.00
2025-12-07T19:12:46.454303,2.00,9,9.00,100.0,0.00
2025-12-07T19:12:47.454185,2.00,9,8.50,100.0,0.00
2025-12-07T19:12:48.454223,3.00,10,9.00,100.0,0.00
2025-12-07T19:12:49.454145,2.00,10,10.00,100.0,0.00
2025-12-07T19:12:50.454201,3.00,10,10.00,100.0,0.00
2025-12-07T19:12:51.454302,2.00,10,10.00,100.0,0.00
2025-12-07T19:12:52.454204,2.00,10,10.00,100.0,0.00
2025-12-07T19:12:53.454210,3.00,10,10.00,100.0,0.00
2025-12-07T19:12:54.454219,2.00,10,10.00,100.0,0.00
2025-12-07T19:12:55.454416,3.00,10,10.00,100.0,0.00
2025-12-07T19:12:56.454250,2.00,10,10.00,100.0,0.00
2025-12-07T19:12:57.454248,2.00,10,10.00,100.0,0.00
2025-12-07T19:12:58.454279,2.30,6,7.50,100.0,0.00
2025-12-07T19:12:59.454183,3.00,5,6.00,100.0,0.00
2025-12-07T19:13:00.454281,2.00,6,5.50,100.0,0.00
2025-12-07T19:13:01.454896,2.00,6,6.00,100.0,0.00
2025-12-07T19:13:02.454383,3.00,6,6.00,100.0,0.00
2025-12-07T19:13:03.454293,2.00,6,6.00,100.0,0.00
2025-12-07T19:13:04.454229,3.00,6,6.00,100.0,0.00
2025-12-07T19:13:05.459738,1.99,6,6.00,100.0,0.00
2025-12-07T19:13:06.454162,2.01,6,6.00,100.0,0.00
2025-12-07T19:13:07.454365,2.00,6,6.00,100.0,0.00
2025-12-07T19:13:08.454066,2.00,6,5.50,100.0,0.00
2025-12-07T19:13:09.454533,3.00,6,6.00,100.0,0.00
2025-12-07T19:13:10.454206,2.00,6,6.00,100.0,0.00
2025-12-07T19:13:11.454274,3.00,6,6.00,100.0,0.00
2025-12-07T19:13:12.454470,2.00,6,6.00,100.0,0.00
2025-12-07T19:13:13.454587,2.00,6,6.00,100.0,0.00
2025-12-07T19:13:14.456579,2.99,6,6.00,100.0,0.00
